instance,category
oc.todon.fr,academia
oc.todon.fr,activism
oc.todon.fr,lgbt
oc.todon.fr,tech
mastodon.cc,art
mastodon.me.uk,tech
freeradical.zone,activism
freeradical.zone,tech
shelter.moe,anime
shelter.moe,games
oldbytes.space,tech
toot.aquilenet.fr,activism
toot.aquilenet.fr,tech
mastodon.pirateparty.be,activism
mastodon.pirateparty.be,tech
mstdn.maud.io,games
mstdn.maud.io,tech
mastodon.nzoss.nz,activism
mastodon.nzoss.nz,tech
mastodon.art,anime
mastodon.art,art
mastodon.art,furry
mastodon.art,games
mastodon.art,music
imastodon.net,games
kinky.business,adult
kinky.business,lgbt
ifrit.gaia.ff14-mstdn.xyz,games
eletusk.club,games
dtp-mstdn.jp,tech
fanfare.horse,sports
linuxrocks.online,tech
precure.ml,anime
precure.ml,music
lgbt.io,lgbt
mathstodon.xyz,academia
todon.nl,activism
elekk.xyz,games
toot.blue,activism
equestria.social,anime
equestria.social,furry
mastodon.acc.sunet.se,academia
mastodon.acc.sunet.se,tech
coales.co,academia
coales.co,activism
coales.co,games
coales.co,music
coales.co,tech
acg.mn,anime
acg.mn,music
acg.mn,tech
mstdn.mini4wd-engineer.com,anime
mstdn.mini4wd-engineer.com,sports
rubber.social,adult
rubber.social,lgbt
metalhead.club,music
wug.fun,anime
wug.fun,music
qdon.space,lgbt
scicomm.xyz,academia
md.xps2.net,anime
md.xps2.net,books
md.xps2.net,games
md.xps2.net,music
tech.lgbt,lgbt
tech.lgbt,tech
toot.kif.rocks,academia
social.chinwag.org,art
social.chinwag.org,games
social.chinwag.org,music
ruhr.social,tech
gamemaking.social,art
gamemaking.social,games
pouet.chapril.org,activism
pouet.chapril.org,tech
layer8.space,academia
layer8.space,adult
layer8.space,anime
layer8.space,art
layer8.space,books
layer8.space,games
layer8.space,music
layer8.space,tech
donphan.social,games
djs.social,music
vis.social,art
claris.cf,games
claris.cf,humor
ukadon.shillest.net,anime
social.politicaconciencia.org,academia
social.politicaconciencia.org,activism
social.politicaconciencia.org,art
social.politicaconciencia.org,books
social.politicaconciencia.org,journalism
social.politicaconciencia.org,music
social.politicaconciencia.org,tech
imastodon.org,anime
imastodon.org,games
yukari.cafe,tech
kinkyelephant.com,adult
pony.social,furry
pony.social,tech
social.bau-ha.us,art
social.bau-ha.us,tech
kpop.social,music
linernotes.club,music
gulp.cafe,adult
gulp.cafe,furry
mastodon.bida.im,academia
mastodon.bida.im,activism
mastodon.bida.im,art
mastodon.bida.im,books
mastodon.bida.im,journalism
mastodon.bida.im,lgbt
mastodon.bida.im,music
mastodon.bida.im,sports
mastodon.bida.im,tech
plush.city,furry
tilde.zone,academia
tilde.zone,activism
tilde.zone,games
tilde.zone,tech
colorid.es,activism
colorid.es,lgbt
ausglam.space,academia
ausglam.space,books
social.linux.pizza,games
social.linux.pizza,tech
socel.net,art
en.osm.town,tech
qoto.org,academia
qoto.org,activism
qoto.org,books
qoto.org,journalism
qoto.org,lgbt
qoto.org,poc
qoto.org,tech
plock.social,tech
girlcock.club,activism
girlcock.club,adult
girlcock.club,lgbt
girlcock.club,tech
abdl.link,adult
abdl.link,lgbt
liberdon.com,academia
liberdon.com,activism
liberdon.com,journalism
liberdon.com,tech
phpc.social,tech
deadinsi.de,lgbt
deadinsi.de,poc
pcgamer.social,games
wp-social.net,tech
ruby.social,tech
dotgr.id,art
dotgr.id,books
dotgr.id,tech
nerdculture.de,activism
nerdculture.de,tech
bildung.social,academia
bildung.social,activism
bildung.social,art
bildung.social,books
bildung.social,games
muenchen.social,academia
muenchen.social,activism
muenchen.social,adult
muenchen.social,anime
muenchen.social,art
muenchen.social,books
muenchen.social,furry
muenchen.social,games
muenchen.social,humor
muenchen.social,journalism
muenchen.social,lgbt
muenchen.social,music
muenchen.social,poc
muenchen.social,sports
muenchen.social,tech
bunt.social,tech
troet.cafe,academia
troet.cafe,activism
troet.cafe,adult
troet.cafe,anime
troet.cafe,art
troet.cafe,books
troet.cafe,furry
troet.cafe,games
troet.cafe,humor
troet.cafe,journalism
troet.cafe,lgbt
troet.cafe,music
troet.cafe,poc
troet.cafe,sports
troet.cafe,tech
mastodontech.de,academia
mastodontech.de,anime
mastodontech.de,art
mastodontech.de,books
mastodontech.de,games
mastodontech.de,humor
mastodontech.de,journalism
mastodontech.de,music
mastodontech.de,poc
mastodontech.de,sports
mastodontech.de,tech
mstdn.schoolidol.club,anime
pounced-on.me,furry
pounced-on.me,lgbt
furry.engineer,furry
furry.engineer,tech
beach.city,adult
beach.city,furry
beach.city,lgbt
odakyu.app,anime
odakyu.app,tech
is.nota.live,activism
is.nota.live,lgbt
nitech.online,tech
mastodon.jalgi.eus,journalism
mastodon.librelabucm.org,tech
rivals.space,lgbt
rivals.space,tech
mastodon.radio,tech
fandom.ink,art
fandom.ink,books
mastodon.triggerphra.se,lgbt
schleuss.online,games
schleuss.online,tech
puppo.space,furry
puppo.space,tech
mastodon.opencloud.lu,academia
mastodon.opencloud.lu,tech
mastodon.cipherbliss.com,art
mastodon.cipherbliss.com,humor
toot.sh,tech
thicc.horse,adult
thicc.horse,lgbt
toot.shoes,adult
lor.sh,tech
qaf.men,adult
qaf.men,lgbt
www.librepunk.club,humor
literatur.social,books
literatur.social,journalism
best-friends.chat,humor
mograph.social,art
mograph.social,tech
mastodon.cisti.org,activism
ifwo.eu,academia
rollenspiel.social,games
indieweb.social,tech
barcamp.social,tech
bologna.one,games
bologna.one,tech
ioc.exchange,tech
ani.work,anime
ani.work,games
mastodon.ethibox.fr,tech
digitalcourage.social,activism
digitalcourage.social,tech
sfba.social,activism
sfba.social,humor
xarxa.cloud,activism
social.diva.exchange,academia
social.diva.exchange,tech
stereodon.social,music
noc.social,academia
noc.social,tech
unipar.online,academia
alive.bar,music
lejaua6.club,anime
climatejustice.social,activism
todon.eu,activism
hyan.ink,art
hyan.ink,books
hub.mtf.party,lgbt
social.wieser-hv.de,games
social.wieser-hv.de,tech
kolektiva.social,activism
fulda.social,games
fulda.social,tech
eattherich.club,activism
eattherich.club,journalism
nerd.town,tech
moresci.sale,academia
ludosphere.fr,games
toot.portes-imaginaire.org,games
mastodon.1984.cz,art
mastodon.1984.cz,journalism
onlyfeds.cc,activism
subversive.zone,activism
mastodon.acerbo.me,tech
roleplayers.bub.org,games
cathode.church,lgbt
gs.leftic.club,activism
stereophonic.space,art
stereophonic.space,tech
pagan.plus,academia
pagan.plus,lgbt
feuerwehr.social,academia
mastodon.xy-space.de,activism
mstdn.moe,anime
mstdn.moe,games
sneakerwave.net,art
sneakerwave.net,music
dis-le.de,journalism
biplus.date,lgbt
yip.gay,furry
yip.gay,lgbt
social.main-angler.de,sports
vrparty.social,games
fearness.org,lgbt
fearness.org,tech
pol.social,activism
pol.social,journalism
radiosocial.de,tech
social.datalabour.com,journalism
kfem.cat,academia
kfem.cat,humor
puntarella.party,activism
el5.net,anime
el5.net,games
links.potsda.mn,activism
links.potsda.mn,lgbt
catcatnya.com,lgbt
fairy.id,art
tabletop.vip,games
peoplemaking.games,games
peoplemaking.games,tech
tkz.one,anime
tkz.one,games
kafeneio.social,journalism
kafeneio.social,tech
savageworlds.social,books
savageworlds.social,games
k8s.social,tech
bolha.us,tech
mastodon.offerman.com,journalism
mastodon.offerman.com,tech
conversafiada.net,activism
conversafiada.net,tech
breeze.town,tech
schach.social,games
schach.social,sports
a11y.social,tech
techforgood.social,activism
techforgood.social,tech
gladtech.social,tech
blobfox.coffee,furry
blobfox.coffee,lgbt
benehomini.social,activism
dariox.club,lgbt
dariox.club,tech
hifish.social,tech
tum.social,academia
tum.social,tech
squeak.social,adult
squeak.social,furry
social.veraciousnetwork.com,games
social.veraciousnetwork.com,tech
sakurajima.moe,anime
assemblag.es,academia
assemblag.es,tech
sciences.social,academia
cityofchicago.live,journalism
cityofchicago.live,lgbt
techeasy.org,games
techeasy.org,tech
mastodon.mfbfreaks.nl,tech
social.sciences.re,academia
cyberfurz.social,furry
cyberfurz.social,games
lehrerzimmer.social,academia
lehrerzimmer.social,tech
corteximplant.com,art
corteximplant.com,music
mastodon.no2nd.earth,activism
social.khajiit.de,games
social.khajiit.de,tech
mendeddrum.org,books
mendeddrum.org,humor
unstraight.club,lgbt
verkehrswende.social,activism
nangang.travnewmatic.com,tech
rail.chat,activism
cztwitter.cz,humor
cztwitter.cz,tech
postpandemicparty.org,academia
postpandemicparty.org,poc
v2br.social,anime
v2br.social,games
floe.earth,activism
pawb.fun,furry
talk.stayas.one,humor
talk.stayas.one,tech
pravdasocial.net,tech
mastodon.blackblock.rocks,games
veterinary.education,academia
toot.lgbt,lgbt
bardown.space,sports
meow.lgbt,lgbt
meow.lgbt,tech
mastodon.education,humor
lgbtqia.space,activism
lgbtqia.space,lgbt
zirk.us,academia
zirk.us,books
social.chatty.monster,humor
social.horrorhub.club,art
social.horrorhub.club,humor
hsnl.social,tech
trans.house,lgbt
mastodon.electric-goat.net,games
tty0.social,tech
snaggletooth.life,furry
snaggletooth.life,lgbt
mastodon.fsinf.at,academia
itdev.social,games
itdev.social,tech
kurry.social,furry
denizens.social,activism
bonequest.net,humor
bonequest.net,tech
etw.uk,tech
social.vleij.com,sports
social.vleij.com,tech
freifunk.social,tech
asphodel.rip,art
asphodel.rip,humor
mastodon.lawprofs.org,academia
algebra.chat,academia
agilodon.social,tech
scientificnetwork.de,academia
furries.club,art
furries.club,furry
federated.press,journalism
linguisten.info,academia
growers.social,humor
growers.social,tech
tiggi.es,furry
the.voiceover.bar,art
cr8r.gg,games
cr8r.gg,tech
seo.chat,tech
fckmsk.social,journalism
fckmsk.social,tech
msps.io,tech
skastodon.com,music
macrofurs.social,furry
adtech.land,tech
hamradio.tel,tech
bahn.social,activism
bahn.social,lgbt
weedyverse.de,activism
weedyverse.de,adult
costodon.social,anime
union.place,activism
union.place,tech
discuss.systems,academia
discuss.systems,tech
vmst.io,tech
social.hardlimit.com,games
social.hardlimit.com,tech
frameperfect.space,games
frameperfect.space,tech
bytetower.social,art
sunshinecoast.social,journalism
greennuclear.online,activism
social.dorf-post.de,academia
social.dorf-post.de,tech
mastorol.es,games
electroverse.tech,activism
electroverse.tech,tech
gnulinux.social,academia
gnulinux.social,tech
social.nekover.se,lgbt
social.nekover.se,tech
frikiverse.zone,anime
frikiverse.zone,books
divas.joburg,lgbt
neovibe.app,lgbt
socialpa.ws,activism
socialpa.ws,furry
social.treehouse.systems,lgbt
social.treehouse.systems,tech
msdyn365bc.social,tech
defcon.social,tech
musicians.today,music
disabled.social,activism
attractive.space,art
recordplug.club,music
bvb.social,sports
webperf.social,tech
sakamichi.fun,music
discuss.smash.today,games
firekitten.social,furry
firekitten.social,tech
lingo.lol,academia
blasmusik.social,music
poweredbygay.social,lgbt
poweredbygay.social,sports
jbo.social,music
epicure.social,books
epicure.social,journalism
urusai.social,anime
urusai.social,games
academictalk.org,academia
mstdn.gsi.li,tech
genomic.social,academia
babyfurs.social,adult
techhub.social,tech
metalverse.social,music
devschile.social,tech
snooker.uk.to,sports
leftodon.social,activism
widget.uk,tech
undefined.social,tech
religion.masto.host,academia
ecoevo.social,academia
furry.energy,furry
dustbuster.club,tech
bookstodon.com,books
borahae.love,music
formu1a.social,sports
amphora.social,tech
lgbtcz.social,lgbt
startrekshitposting.com,art
startrekshitposting.com,humor
weremember.social,academia
weremember.social,activism
glitch.lgbt,art
glitch.lgbt,lgbt
shark.community,furry
shark.community,lgbt
mast.hpc.social,academia
mast.hpc.social,tech
wptoots.social,tech
kirche.social,activism
nycr.social,tech
mastodon.furrypaws.cc,furry
mastodon.furrypaws.cc,lgbt
csed.social,academia
csed.social,tech
xreality.social,games
xreality.social,tech
cliff.social,tech
body.social,activism
mastodon.devua.club,tech
veganism.social,activism
synapse.cafe,academia
synapse.cafe,tech
transportation.social,academia
transportation.social,tech
squawk.social,furry
social.undeadnetwork.de,music
asstodon.social,activism
asstodon.social,adult
batchats.net,furry
blahaj.finch.ink,lgbt
blahaj.finch.ink,tech
datasci.social,academia
datasci.social,tech
catharsis.cafe,art
catharsis.cafe,books
nightcord.de,games
poliversity.it,academia
poliversity.it,journalism
mastodon.ktachibana.party,anime
mastodon.ktachibana.party,humor
better.boston,activism
better.boston,journalism
toad.social,journalism
fruef.social,journalism
fruef.social,sports
indigenousgulf.online,poc
social.9tail.net,anime
ceilidh.online,lgbt
ceilidh.online,poc
mast.lukeog.com,games
mast.lukeog.com,tech
f.cz,activism
f.cz,tech
weird.autos,tech
mastodon.scop.coop,activism
handmade.social,art
genserver.social,tech
darkfriend.social,art
darkfriend.social,books
lsbt.me,activism
lsbt.me,lgbt
woof.tech,furry
woof.tech,lgbt
apobangpo.space,music
nomanssky.social,games
nomanssky.social,tech
social.silicon.moe,tech
holonet.imperialba.se,humor
mstdn.gamercast.net,games
risk.social,academia
risk.social,tech
blahaj.zone,lgbt
wargamers.social,games
indieauthors.social,books
indieauthors.social,lgbt
4bear.com,lgbt
ballhaus.community,music
oberberg.nrw,journalism
app.bikers.social,sports
social.tsueri.cloud,activism
social.tsueri.cloud,tech
kitsunes.club,anime
kitsunes.club,humor
drumstodon.net,music
transfur.social,furry
underwear.social,adult
