instance,added_at,updated_at,checked_at,uptime,up,dead,version,ipv6,https_score,https_rank,obs_score,obs_rank,users,statuses,connections,open_registrations,topic
social.tchncs.de,,2024-10-30T12:40:03.443Z,2024-10-30T12:40:03.443Z,1,true,false,4.3.1,true,100,A+,130,A+,22338,3192453,51737,true,Mastodon
animalliberation.social,,2024-10-30T12:10:13.751Z,2024-10-30T12:10:13.751Z,1,true,false,3.0.0,true,5,"F ",75,"B ",1335,5202,4717,true,Animal Liberation Network
hostux.social,,2024-10-30T12:36:50.847Z,2024-10-30T12:36:50.847Z,1,true,false,4.3.1,true,10,"E ",80,B+,8378,474142,32275,true,Mastodon Hostux
aleph.land,,2024-10-30T12:31:56.984Z,2024-10-30T12:31:56.984Z,1,true,false,,true,0,,130,A+,1653,231534,35919,true,Aleph
mastodon.gougere.fr,,2024-10-30T12:10:14.314Z,2024-10-30T12:10:14.314Z,1,true,false,,true,100,A+,80,B+,1884,239748,32795,true,Mastodon - Gougère Network
oc.todon.fr,,2024-10-30T12:31:29.126Z,2024-10-30T12:31:29.126Z,1,true,false,,true,10,"E ",130,A+,2823,192233,34760,true,Octodon
social.apreslanu.it,,2024-10-30T12:35:32.285Z,2024-10-30T12:35:32.285Z,1,true,false,,false,5,"F ",80,B+,95,17908,19879,true,après la nuit
mastodon.cloud,,2024-10-30T12:30:18.479Z,2024-10-30T12:30:18.479Z,1,true,false,,true,10,"E ",130,A+,275347,5801745,56221,true,mastodon.cloud
mastodon.partipirate.org,,2024-10-30T12:30:24.887Z,2024-10-30T12:30:24.887Z,1,true,false,,false,10,"E ",75,"B ",2538,46858,19099,true,Mastodon - Parti Pirate
mastodon.tetaneutral.net,,2024-10-30T12:30:08.511Z,2024-10-30T12:30:08.511Z,1,true,false,4.3.1,true,100,A+,125,A+,872,206124,28957,true,Mastodon Tetaneutral.net
mastodon.cc,,2024-10-30T12:31:07.985Z,2024-10-30T12:31:07.985Z,1,true,false,4.3.0,true,10,"E ",80,B+,1904,87879,34148,true,Mastodon.cc
toot.cat,,2024-10-30T12:35:33.141Z,2024-10-30T12:35:33.141Z,1,true,false,,true,10,"E ",125,A+,2682,718509,53156,true,Toot.Cat
im-in.space,,2024-10-30T12:35:54.612Z,2024-10-30T12:35:54.612Z,1,true,false,,true,100,A+,100,A+,1077,133562,33517,true,I'm in Space
social.taker.fr,,2024-10-30T12:35:51.708Z,2024-10-30T12:35:51.708Z,1,true,false,4.3.0,true,100,A+,80,B+,119,11733,24268,true,Mastodon
mastodon.ml,,2024-10-30T12:31:03.118Z,2024-10-30T12:31:03.118Z,1,true,false,,true,100,A+,125,A+,3151,989095,46125,true,Mastodon.ml
mastodon.land,,2024-10-30T12:31:26.305Z,2024-10-30T12:31:26.305Z,1,true,false,4.3.0,false,5,"F ",125,A+,33,324,11703,true,"The Land - CLE, OH"
social.etc-services.de,,2024-10-30T12:36:21.482Z,2024-10-30T12:36:21.482Z,1,true,false,,false,100,A+,80,B+,6,898,3617,true,Mastodon
mastodon.zaclys.com,,2024-10-30T12:31:15.631Z,2024-10-30T12:31:15.631Z,1,true,false,4.3.1,true,5,"F ",80,B+,4048,323533,37422,true,Mastodon.zaclys.com
mastodon.yaat.org,,2024-10-30T13:05:05.221Z,2024-10-30T13:05:05.221Z,1,false,false,,true,5,"F ",45,C-,3,43,111,true,Mastodon
mastodon.me.uk,,2024-10-30T12:30:18.758Z,2024-10-30T12:30:18.758Z,1,true,false,,true,0,,125,A+,2612,445017,39779,true,mastodon.me.uk
infosec.exchange,,2024-10-30T12:32:07.183Z,2024-10-30T12:32:07.183Z,1,true,false,,true,100,A+,125,A+,71252,3620354,48623,true,Infosec Exchange
mastodon.indie.host,,2024-10-30T12:30:27.632Z,2024-10-30T12:30:27.632Z,1,true,false,,false,10,"E ",80,B+,26,16853,23912,true,Mastodon - IndieHosters
mastodon.chaosfield.at,,2024-10-30T12:30:29.597Z,2024-10-30T12:30:29.597Z,1,true,false,4.3.1,true,10,"E ",130,A+,8,12807,22257,true,Mastodon - Chaosfield
freeradical.zone,,2024-10-30T12:30:22.806Z,2024-10-30T12:30:22.806Z,1,true,false,4.3.1,true,5,"F ",125,A+,2809,690898,30170,true,Free Radical
mastodon.fun,,2024-10-30T12:10:03.504Z,2024-10-30T12:10:03.504Z,1,true,false,4.3.0,true,5,"F ",80,B+,8162,1169259,22532,true,NS中文嘟嘟  Mastodon中文社区
shelter.moe,,2024-10-30T12:35:26.227Z,2024-10-30T12:35:26.227Z,1,true,false,4.3.1,true,10,"E ",120,A+,1730,460846,33206,true,Shelter
oulipo.social,,2024-10-30T12:31:03.408Z,2024-10-30T12:31:03.408Z,1,true,false,,true,5,"F ",80,B+,1120,156718,27373,true,Oulipo.social (Mark II)
masto.pt,,2024-10-30T12:35:11.046Z,2024-10-30T12:35:11.046Z,1,true,false,4.3.1,true,0,,80,B+,5199,457845,40977,true,Masto.PT
mst3k.interlinked.me,,2024-10-30T12:35:33.426Z,2024-10-30T12:35:33.426Z,1,true,false,,true,100,A+,125,A+,242,345646,29105,true,Interlinked MST3K
mastodon.tokyo,,2024-10-30T12:31:07.834Z,2024-10-30T12:31:07.834Z,1,true,false,4.3.1,true,10,"E ",125,A+,43,6269,15357,true,Mastodon.Tokyo
toot.berlin,,2024-10-30T12:36:50.136Z,2024-10-30T12:36:50.136Z,1,true,false,4.3.1,false,100,A+,125,A+,965,73104,30499,true,toot.BERLIN
mastodon.migennes.net,,2024-10-30T12:30:04.747Z,2024-10-30T12:30:04.747Z,1,true,false,4.2.7,false,10,"E ",80,B+,16,2866,340,true,Le réseau social pour les Migennois
oldbytes.space,,2024-10-30T12:30:08.930Z,2024-10-30T12:30:08.930Z,1,true,false,,true,0,,80,B+,1077,390218,38996,true,OldBytes Space - Mastodon
toot.aquilenet.fr,,2024-10-30T12:35:27.352Z,2024-10-30T12:35:27.352Z,1,true,false,4.3.1,true,5,"F ",125,A+,5230,299816,34244,true,Aquilepouet
mastodon.sandwich.net,,2024-10-30T12:31:10.508Z,2024-10-30T12:31:10.508Z,1,true,false,,true,100,A+,125,A+,492,116086,32330,true,Mastodon Sandwich
diaspodon.fr,,2024-10-30T12:36:26.803Z,2024-10-30T12:36:26.803Z,1,true,false,4.3.1,true,100,A+,125,A+,259,179948,25672,true,Diaspodon
functional.cafe,,2024-10-30T12:10:20.553Z,2024-10-30T12:10:20.553Z,1,true,false,,true,5,"F ",125,A+,804,247487,29553,true,Functional Café
