instance,language
social.tchncs.de,en
social.tchncs.de,de
animalliberation.social,en
hostux.social,en
hostux.social,fr
hostux.social,it
hostux.social,es
aleph.land,en
aleph.land,eo
aleph.land,fr
oc.todon.fr,en
oc.todon.fr,fr
mastodon.tetaneutral.net,fr
mastodon.cc,en
im-in.space,en
im-in.space,fr
im-in.space,es
social.taker.fr,fr
social.etc-services.de,en
social.etc-services.de,de
mastodon.zaclys.com,fr
mastodon.me.uk,en
freeradical.zone,en
mastodon.fun,en
mastodon.fun,fr
shelter.moe,en
shelter.moe,fr
masto.pt,en
masto.pt,pt
mst3k.interlinked.me,en
mst3k.interlinked.me,fr
toot.berlin,en
toot.berlin,de
oldbytes.space,en
oldbytes.space,fr
toot.aquilenet.fr,fr
mastodon.sandwich.net,en
mastodon.pirateparty.be,nl
mastodon.pirateparty.be,en
mastodon.pirateparty.be,fr
bne.social,en
mastodon.org.uk,en
tooot.im,he
mstdn.maud.io,ja
x0r.be,en
x0r.be,de
x0r.be,hu
mstdn.jp,ja
mastodon.nzoss.nz,en
mastodon.nu,da
mastodon.nu,en
mastodon.nu,fi
mastodon.nu,is
mastodon.nu,no
mastodon.nu,nn
mastodon.nu,sv
mastodon.scot,en
mastodon.scot,gd
bonn.social,de
computerfairi.es,en
mastodon.berlin,de
g0v.social,zh
g0v.social,en
pao.moe,ja
mastodon.motcha.tech,ja
tenforward.social,en
mastodon.art,da
mastodon.art,nl
mastodon.art,en
mastodon.art,fr
mastodon.art,de
mastodon.art,ja
mastodon.art,sv
imastodon.net,ja
skj.ca,en
kinky.business,en
insoumis.social,fr
ifrit.gaia.ff14-mstdn.xyz,ja
mstdn.plus,en
mastodont.cat,ca
mastodont.cat,en
mastodont.cat,es
otogamer.me,ja
eletusk.club,ja
toot.works,en
mastodon.mnetwork.co.kr,ko
dtp-mstdn.jp,ja
fanfare.horse,ja
mstdn.mx,es
linuxrocks.online,en
august-don.site,ja
mastodon.uy,en
mastodon.uy,pt
mastodon.uy,es
precure.ml,ja
mastodon.nl,nl
mastodon.nl,en
lgbt.io,en
mstdn-bike.net,ja
kurage.cc,ja
mathstodon.xyz,en
mastodon.social,en
mastodos.com,ja
todon.nl,ca
todon.nl,nl
todon.nl,en
todon.nl,fr
todon.nl,de
todon.nl,pt
todon.nl,es
todon.nl,fy
elekk.xyz,en
toot.blue,ja
equestria.social,en
equestria.social,fr
mastodon.kebree.fr,en
mastodon.kebree.fr,fr
mstdn.wildtree.jp,ja
ieji.de,nl
ieji.de,en
ieji.de,de
gingadon.com,ja
mastodon.acc.sunet.se,da
mastodon.acc.sunet.se,en
mastodon.acc.sunet.se,fo
mastodon.acc.sunet.se,is
mastodon.acc.sunet.se,se
mastodon.acc.sunet.se,no
mastodon.acc.sunet.se,nn
mastodon.acc.sunet.se,sv
coales.co,en
acg.mn,zh
acg.mn,en
acg.mn,ja
nagoyadon.jp,ja
