instance,prohibited_content
animalliberation.social,nudity_nocw
animalliberation.social,pornography_nocw
animalliberation.social,pornography_all
animalliberation.social,sexism
animalliberation.social,racism
animalliberation.social,spam
animalliberation.social,hateSpeeches
animalliberation.social,harrassment
hostux.social,illegalContentLinks
hostux.social,spam
hostux.social,advertising
aleph.land,nudity_nocw
aleph.land,pornography_nocw
aleph.land,spam
aleph.land,advertising
aleph.land,spoilers_nocw
oc.todon.fr,nudity_nocw
oc.todon.fr,pornography_nocw
oc.todon.fr,illegalContentLinks
oc.todon.fr,spam
oc.todon.fr,advertising
oc.todon.fr,spoilers_nocw
mastodon.cc,nudity_nocw
mastodon.cc,pornography_nocw
mastodon.cc,illegalContentLinks
mastodon.cc,spam
mastodon.cc,advertising
im-in.space,nudity_nocw
im-in.space,pornography_nocw
im-in.space,illegalContentLinks
im-in.space,spam
im-in.space,advertising
social.taker.fr,sexism
social.taker.fr,racism
social.taker.fr,illegalContentLinks
social.taker.fr,spam
social.taker.fr,hateSpeeches
social.taker.fr,harrassment
mastodon.zaclys.com,nudity_nocw
mastodon.zaclys.com,nudity_all
mastodon.zaclys.com,pornography_nocw
mastodon.zaclys.com,pornography_all
mastodon.zaclys.com,sexism
mastodon.zaclys.com,racism
mastodon.zaclys.com,illegalContentLinks
mastodon.zaclys.com,spam
mastodon.zaclys.com,advertising
mastodon.zaclys.com,hateSpeeches
mastodon.zaclys.com,harrassment
mastodon.zaclys.com,spoilers_nocw
mastodon.me.uk,nudity_nocw
mastodon.me.uk,pornography_nocw
mastodon.me.uk,illegalContentLinks
mastodon.me.uk,spam
mastodon.me.uk,advertising
freeradical.zone,nudity_nocw
freeradical.zone,pornography_nocw
freeradical.zone,spam
freeradical.zone,advertising
shelter.moe,nudity_nocw
shelter.moe,pornography_nocw
shelter.moe,illegalContentLinks
shelter.moe,spam
shelter.moe,advertising
shelter.moe,spoilers_nocw
masto.pt,nudity_nocw
masto.pt,pornography_nocw
masto.pt,pornography_all
masto.pt,illegalContentLinks
masto.pt,spam
masto.pt,advertising
